epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,14687.5,1.05717,0.7177,1.13701,0.88028,0.80456,0.8663,0.61945,1.19744,0.77216,1.25094,0.00667969,0.00667969,0.00667969
111,14819.9,1.04319,0.71042,1.13592,0.87983,0.80445,0.86615,0.61972,1.19706,0.77238,1.2506,0.00664923,0.00664923,0.00664923
112,14950.4,1.0503,0.71067,1.13341,0.87877,0.80451,0.86595,0.61995,1.19606,0.77179,1.25032,0.00661877,0.00661877,0.00661877
113,15080.7,1.04665,0.70225,1.12854,0.87983,0.80609,0.8667,0.62021,1.19535,0.77086,1.2501,0.00658831,0.00658831,0.00658831
114,15222.9,1.04259,0.70435,1.12884,0.88036,0.80455,0.8666,0.62081,1.1948,0.77013,1.24964,0.00655785,0.00655785,0.00655785
115,15353.4,1.02807,0.69595,1.11932,0.88115,0.80388,0.8664,0.62072,1.19439,0.76936,1.24941,0.00652738,0.00652738,0.00652738
116,15483.6,1.03392,0.69902,1.1274,0.88073,0.80388,0.86632,0.62117,1.19354,0.76863,1.2487,0.00649692,0.00649692,0.00649692
117,15625.7,1.03889,0.69888,1.12937,0.88245,0.80307,0.86659,0.62168,1.19262,0.76779,1.24789,0.00646646,0.00646646,0.00646646
118,15755.8,1.03433,0.69601,1.1245,0.88162,0.80331,0.86678,0.62192,1.19142,0.7665,1.24689,0.006436,0.006436,0.006436
119,15886,1.03484,0.6945,1.12212,0.88081,0.80276,0.86611,0.62227,1.19034,0.76633,1.24635,0.00640554,0.00640554,0.00640554
120,16016,1.02282,0.68903,1.11983,0.88343,0.80058,0.86583,0.62303,1.18963,0.76592,1.24586,0.00637508,0.00637508,0.00637508
121,16158.6,1.02613,0.69105,1.1223,0.88253,0.80232,0.86629,0.62354,1.18861,0.76523,1.2451,0.00634462,0.00634462,0.00634462
122,16290,1.02294,0.68312,1.11854,0.88353,0.80209,0.86677,0.6244,1.18786,0.76503,1.24468,0.00631415,0.00631415,0.00631415
123,16420.8,1.02544,0.69376,1.11882,0.88393,0.80282,0.86673,0.62427,1.18694,0.76502,1.24417,0.00628369,0.00628369,0.00628369
