epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,10243.8,1.20895,0.86795,1.22772,0.86372,0.76867,0.84767,0.56936,1.30599,0.84674,1.29995,0.00646646,0.00646646,0.00646646
118,10340.3,1.20943,0.86686,1.22237,0.86608,0.76824,0.8478,0.56937,1.30483,0.8457,1.29907,0.006436,0.006436,0.006436
119,10436.3,1.2131,0.87073,1.22202,0.86459,0.76777,0.84679,0.56949,1.30371,0.84518,1.29838,0.00640554,0.00640554,0.00640554
120,10533.1,1.1969,0.86026,1.21867,0.86369,0.76844,0.84695,0.56968,1.30264,0.84476,1.29777,0.00637508,0.00637508,0.00637508
121,10639.1,1.20229,0.86234,1.22246,0.86221,0.77023,0.8474,0.57029,1.30219,0.84369,1.29764,0.00634462,0.00634462,0.00634462
122,10735.5,1.20364,0.85572,1.21846,0.86018,0.77193,0.84716,0.57037,1.30128,0.84231,1.29717,0.00631415,0.00631415,0.00631415
123,10832.6,1.20145,0.8634,1.21953,0.86214,0.77216,0.84829,0.57085,1.30054,0.84184,1.29659,0.00628369,0.00628369,0.00628369
124,10929.3,1.1928,0.84675,1.20786,0.86222,0.77357,0.84899,0.57162,1.29942,0.841,1.29509,0.00625323,0.00625323,0.00625323
125,11035.2,1.19505,0.85447,1.21859,0.8611,0.77372,0.84926,0.57191,1.29845,0.84013,1.29462,0.00622277,0.00622277,0.00622277
126,11131.4,1.19501,0.8512,1.21707,0.85931,0.77557,0.84837,0.57229,1.29824,0.83949,1.29441,0.00619231,0.00619231,0.00619231
127,11227.9,1.18934,0.83917,1.21102,0.85897,0.77642,0.84925,0.57226,1.29742,0.83861,1.29393,0.00616185,0.00616185,0.00616185
128,11324,1.19072,0.85078,1.21412,0.85816,0.77665,0.84949,0.57297,1.29669,0.83723,1.29311,0.00613138,0.00613138,0.00613138
129,11420,1.19374,0.84931,1.21362,0.85907,0.77535,0.84883,0.57331,1.29612,0.83626,1.29264,0.00610092,0.00610092,0.00610092
130,11525.8,1.19035,0.84652,1.21297,0.86283,0.77387,0.8492,0.57352,1.29508,0.83588,1.29214,0.00607046,0.00607046,0.00607046
131,11622,1.18628,0.84681,1.21262,0.86223,0.7755,0.8491,0.57413,1.29431,0.83476,1.29186,0.00604,0.00604,0.00604
132,11718.6,1.18738,0.84085,1.20785,0.86235,0.7758,0.84924,0.57466,1.29388,0.8343,1.29161,0.00600954,0.00600954,0.00600954
133,11815,1.17691,0.83534,1.20489,0.85885,0.77669,0.84944,0.57499,1.29316,0.83336,1.29093,0.00597908,0.00597908,0.00597908
