epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,19095.2,2.64295,2.03084,2.54885,0.85315,0.74969,0.83202,0.54568,2.73916,1.82957,2.70722,0.00750215,0.00750215,0.00750215
84,19335.2,2.66818,2.03718,2.55007,0.85619,0.75061,0.83262,0.54666,2.73482,1.82799,2.70106,0.00747169,0.00747169,0.00747169
85,19577.2,2.64921,2.02263,2.55533,0.85163,0.75195,0.83256,0.54666,2.72494,1.82715,2.69741,0.00744123,0.00744123,0.00744123
86,19816.5,2.65698,2.02002,2.54992,0.85117,0.75327,0.83328,0.54929,2.71997,1.82687,2.69127,0.00741077,0.00741077,0.00741077
87,20068.7,2.62994,2.01397,2.55732,0.84513,0.75685,0.83386,0.54995,2.71718,1.82464,2.69126,0.00738031,0.00738031,0.00738031
88,20311.3,2.62878,1.99639,2.55144,0.84255,0.75968,0.8338,0.5503,2.71406,1.82074,2.68911,0.00734985,0.00734985,0.00734985
89,20551.1,2.637,2.00261,2.54262,0.84327,0.76398,0.83508,0.552,2.71034,1.81682,2.68559,0.00731938,0.00731938,0.00731938
90,20788.8,2.62585,1.99321,2.53895,0.84122,0.76628,0.83546,0.55241,2.70652,1.81469,2.68304,0.00728892,0.00728892,0.00728892
91,21024.4,2.62195,2.00688,2.54234,0.83298,0.77249,0.83502,0.55294,2.70177,1.81706,2.67971,0.00725846,0.00725846,0.00725846
92,21275.1,2.61691,1.98554,2.53791,0.83141,0.77557,0.83592,0.55429,2.6974,1.81541,2.67635,0.007228,0.007228,0.007228
93,21519.7,2.62331,1.98984,2.53411,0.83671,0.77198,0.83555,0.55516,2.69093,1.8173,2.67219,0.00719754,0.00719754,0.00719754
94,21765.4,2.59639,1.96079,2.51956,0.83657,0.77045,0.83571,0.55627,2.69075,1.81124,2.67431,0.00716708,0.00716708,0.00716708
95,22009.2,2.61093,1.96188,2.51873,0.83401,0.77155,0.83581,0.55774,2.68884,1.80838,2.67061,0.00713662,0.00713662,0.00713662
96,22245.6,2.60157,1.97717,2.52794,0.83471,0.77318,0.83722,0.55781,2.68848,1.80597,2.66892,0.00710615,0.00710615,0.00710615
97,22484.7,2.62231,1.98364,2.52657,0.8377,0.77179,0.83824,0.55878,2.68399,1.80751,2.66627,0.00707569,0.00707569,0.00707569
98,22730.7,2.59251,1.94363,2.52165,0.84046,0.769,0.83835,0.5592,2.68227,1.80531,2.66594,0.00704523,0.00704523,0.00704523
99,22969.7,2.56682,1.93728,2.50189,0.8393,0.7717,0.83875,0.55943,2.67942,1.8023,2.66396,0.00701477,0.00701477,0.00701477
100,23208,2.57207,1.93765,2.50138,0.84161,0.77208,0.83943,0.55993,2.67664,1.79975,2.66122,0.00698431,0.00698431,0.00698431
101,23459.6,2.58549,1.93539,2.51023,0.84118,0.77,0.83936,0.56015,2.67405,1.79758,2.66034,0.00695385,0.00695385,0.00695385
102,23701.9,2.55719,1.92979,2.50147,0.84372,0.77023,0.83916,0.56099,2.6711,1.79868,2.65764,0.00692338,0.00692338,0.00692338
103,23940,2.58543,1.93149,2.50077,0.84536,0.76978,0.84031,0.56164,2.67005,1.79543,2.65672,0.00689292,0.00689292,0.00689292
104,24184.1,2.58026,1.93233,2.50913,0.84319,0.77297,0.84036,0.56156,2.66821,1.79645,2.65507,0.00686246,0.00686246,0.00686246
105,24433.1,2.56583,1.93398,2.51315,0.84476,0.77535,0.84018,0.56191,2.666,1.79349,2.65458,0.006832,0.006832,0.006832
106,24675.8,2.56667,1.93535,2.49389,0.84422,0.77446,0.8406,0.56241,2.66547,1.79168,2.6549,0.00680154,0.00680154,0.00680154
107,24912.3,2.56843,1.89644,2.49304,0.8465,0.77446,0.8407,0.56309,2.66433,1.78951,2.65444,0.00677108,0.00677108,0.00677108
108,25147.7,2.54258,1.89614,2.48439,0.84577,0.7736,0.84084,0.56329,2.66383,1.78588,2.65209,0.00674062,0.00674062,0.00674062
109,25391.8,2.54256,1.88074,2.47145,0.84924,0.77179,0.84066,0.56354,2.66212,1.7871,2.65114,0.00671015,0.00671015,0.00671015
110,25624.1,2.55763,1.90384,2.48833,0.85106,0.77172,0.84136,0.56467,2.66026,1.78421,2.65034,0.00667969,0.00667969,0.00667969
111,25862.2,2.53357,1.89899,2.48455,0.84719,0.77491,0.84138,0.56561,2.65978,1.78199,2.64911,0.00664923,0.00664923,0.00664923
112,26106.8,2.54523,1.9002,2.49084,0.84519,0.77602,0.8412,0.56615,2.65574,1.78459,2.64712,0.00661877,0.00661877,0.00661877
